hidden_width,seed,condition,acc_t1,acc_t3,gain
45,8,group_c2,0.840000,0.880000,0.040000
45,9,baseline,0.830000,0.945000,0.115000
45,9,group_a,0.830000,0.805000,-0.025000
45,9,group_c1,0.830000,0.705000,-0.125000
45,9,group_c2,0.830000,0.810000,-0.020000
245,0,baseline,0.885000,0.995000,0.110000
245,0,group_a,0.885000,0.840000,-0.045000
245,0,group_c1,0.885000,0.586000,-0.299000
245,0,group_c2,0.885000,0.875000,-0.010000
245,1,baseline,0.830000,0.990000,0.160000
245,1,group_a,0.830000,0.865000,0.035000
245,1,group_c1,0.830000,0.524167,-0.305833
245,1,group_c2,0.830000,0.975000,0.145000
245,2,baseline,0.825000,0.985000,0.160000
245,2,group_a,0.825000,0.765000,-0.060000
245,2,group_c1,0.825000,0.622000,-0.203000
245,2,group_c2,0.825000,0.875000,0.050000
245,3,baseline,0.835000,0.980000,0.145000
245,3,group_a,0.835000,0.840000,0.005000
245,3,group_c1,0.835000,0.537167,-0.297833
245,3,group_c2,0.835000,0.950000,0.115000
245,4,baseline,0.850000,1.000000,0.150000
245,4,group_a,0.850000,0.860000,0.010000
245,4,group_c1,0.850000,0.555167,-0.294833
245,4,group_c2,0.850000,0.815000,-0.035000
245,5,baseline,0.835000,0.995000,0.160000
245,5,group_a,0.835000,0.840000,0.005000
245,5,group_c1,0.835000,0.600000,-0.235000
245,5,group_c2,0.835000,0.895000,0.060000
245,6,baseline,0.815000,0.985000,0.170000
245,6,group_a,0.815000,0.820000,0.005000
245,6,group_c1,0.815000,0.464000,-0.351000
245,6,group_c2,0.815000,0.920000,0.105000
245,7,baseline,0.810000,1.000000,0.190000
245,7,group_a,0.810000,0.860000,0.050000
245,7,group_c1,0.810000,0.621833,-0.188167
245,7,group_c2,0.810000,0.825000,0.015000
245,8,baseline,0.865000,0.980000,0.115000
245,8,group_a,0.865000,0.885000,0.020000
245,8,group_c1,0.865000,0.551667,-0.313333
245,8,group_c2,0.865000,0.920000,0.055000
245,9,baseline,0.865000,0.990000,0.125000
245,9,group_a,0.865000,0.840000,-0.025000
245,9,group_c1,0.865000,0.503000,-0.362000
245,9,group_c2,0.865000,0.960000,0.095000
